Year,County,Income_Indices,Income_Per_Person_euro
2015,Dublin,121.3860474,32997.87569
2015,Kildare,105.0155327,28547.6755
2015,Meath,99.21203355,26970.03831
2015,Wicklow,101.496535,27591.06268
2015,Louth,89.00914279,24196.45989
2015,Laois,84.80267469,23052.96347
2015,Longford,82.23913948,22356.08588
2015,Offaly,80.14106676,21785.74073
2015,Westmeath,86.92544936,23630.02365
2015,Clare,87.13651372,23687.3999
2015,Limerick,104.4601497,28396.69884
2015,Tipperary,90.24713667,24532.99913
2015,Carlow,95.65904663,26004.18578
2015,Kilkenny,93.50656162,25419.04907
2015,Waterford,95.42257239,25939.90205
2015,Wexford,90.34716947,24560.19229
2015,Cork,98.45160268,26763.32095
2015,Kerry,84.22336603,22895.48281
2016,Cavan,83.23621427,23300.5555
2016,Donegal,69.47650061,19448.75885
2016,Leitrim,82.35226461,23053.1089
2016,Monaghan,80.24898788,22464.33253
2016,Sligo,84.73645555,23720.5224
2016,Galway,92.06370489,25771.66062
2016,Mayo,80.36872919,22497.85207
2016,Roscommon,80.13091635,22431.28043
2016,Dublin,121.9729259,34144.23583
2016,Kildare,107.8389625,30187.67436
2016,Meath,100.2696773,28068.78233
2016,Wicklow,102.1790448,28603.27714
2016,Louth,89.38559664,25021.96999
2016,Laois,84.69451586,23708.78211
2016,Longford,80.04906276,22408.36691
2016,Offaly,78.74897094,22044.42843
2016,Westmeath,85.71374307,23994.09734
2016,Clare,88.45751594,24762.16966
2016,Limerick,108.8402222,30467.95989
2016,Tipperary,89.18122527,24964.75972
2016,Carlow,89.48697411,25050.34888
2016,Kilkenny,88.15590643,24677.73924
2016,Waterford,90.09594264,25220.81921
2016,Wexford,84.26335264,23588.08533
2016,Cork,98.91884037,27690.63863
2016,Kerry,86.16519196,24120.47274
2017,Cavan,82.55732554,24442.61329
2017,Donegal,69.81796228,20670.8907
2017,Leitrim,82.79574771,24513.20255
2017,Monaghan,81.09450753,24009.51914
2017,Sligo,85.5482518,25328.13197
2017,Galway,91.30778344,27033.34715
2017,Mayo,80.43525017,23814.33388
2017,Roscommon,80.82572797,23929.94201
2017,Dublin,120.8404921,35777.04822
2017,Kildare,114.4367515,33881.10315
2017,Meath,105.0864966,31112.78838
2017,Wicklow,105.057589,31104.22975
2017,Louth,90.98398142,26937.47961
2017,Laois,82.72038948,24490.89136
2017,Longford,77.85648076,23050.84181
2017,Offaly,76.51711325,22654.29745
2017,Westmeath,81.80278841,24219.21871
2017,Clare,89.14211516,26392.16126
2017,Limerick,108.4820304,32118.09855
2017,Tipperary,90.26349033,26724.16498
2017,Carlow,85.94628606,25445.97733
2017,Kilkenny,86.97493955,25750.52909
2017,Waterford,88.63183845,26241.08446
2017,Wexford,82.15337253,24323.01558
2017,Cork,98.94301186,29293.89683
2017,Kerry,85.65692567,25360.30687
2018,Cavan,80.69126288,24671.44895
2018,Donegal,69.36144933,21207.34508
2018,Leitrim,82.03144145,25081.21014
2018,Monaghan,79.02169118,24160.97543
2018,Sligo,83.87320897,25644.33273
2018,Galway,91.05341986,27839.69069
2018,Mayo,79.23998574,24227.71925
2018,Roscommon,79.18237538,24210.10482
2018,Dublin,122.3417314,37406.12892
2018,Kildare,113.8570586,34811.93017
2018,Meath,103.6349247,31686.50065
2018,Wicklow,103.2362037,31564.59124
2018,Louth,90.09730878,27547.3586
2018,Laois,77.80367058,23788.5642
2018,Longford,72.87930501,22282.93361
2018,Offaly,72.2025158,22076.00451
2018,Westmeath,77.63975426,23738.44659
2018,Clare,88.62694797,27097.79405
2018,Limerick,108.2158455,33087.12259
2018,Tipperary,86.68234561,26503.22958
2018,Carlow,87.36220568,26711.0976
2018,Kilkenny,88.04524062,26919.93634
2018,Waterford,89.41008255,27337.23837
2018,Wexford,83.40947072,25502.54421
2018,Cork,101.6747702,31087.1811
2018,Kerry,83.74417175,25604.87945
2019,Cavan,81.08619761,25795.05977
2019,Donegal,72.41234003,23035.7409
2019,Leitrim,82.21186399,26153.15563
2019,Monaghan,81.3290925,25872.32924
2019,Sligo,86.86130781,27632.23202
2019,Galway,90.37404068,28749.69908
2019,Mayo,80.78251551,25698.45272
2019,Roscommon,81.24967744,25847.06581
2019,Dublin,122.2901374,38902.81574
2019,Kildare,107.1593191,34089.41499
2019,Meath,100.5939859,32000.85779
2019,Wicklow,101.8452264,32398.90117
2019,Louth,88.50637394,28155.55881
2019,Laois,72.81363723,23163.40116
2019,Longford,69.55647575,22127.23623
2019,Offaly,71.51053362,22748.85915
2019,Westmeath,75.88279203,24139.75761
2019,Clare,89.8789254,28592.1935
2019,Limerick,109.2395096,34751.16309
2019,Tipperary,83.31231368,26503.22958
2019,Carlow,88.11763163,28031.8925
2019,Kilkenny,87.53158408,27845.45964
2019,Waterford,90.0757785,28654.81621
2019,Wexford,83.51898489,26568.97561
2019,Cork,102.3223668,32550.68859
2019,Kerry,85.37893091,27160.65977
2020,Cavan,80.12035849,26052.14604
2020,Donegal,71.91219733,23409.2373
2020,Leitrim,81.14469894,26378.8963
2020,Monaghan,81.31216685,26508.17389
2020,Sligo,86.48527894,28169.17605
2020,Galway,89.61251364,29161.30477
2020,Mayo,80.15103629,26085.92305
2020,Roscommon,80.51419477,26196.92451
2020,Dublin,123.1012168,40191.10945
2020,Kildare,107.4330958,35044.78533
2020,Meath,100.1450409,32617.34424
2020,Wicklow,102.4319249,33436.55561
2020,Louth,87.92986994,28625.88609
2020,Laois,71.3192998,23145.2464
2020,Longford,68.20259636,22139.12694
2020,Offaly,70.59788663,22951.41389
2020,Westmeath,74.69792202,24268.74961
2020,Clare,89.41223561,29116.97526
2020,Limerick,110.2827876,36028.55853
2020,Tipperary,82.46228901,26823.89705
2020,Carlow,87.77965346,28593.87348
2020,Kilkenny,87.35461571,28466.75173
2020,Waterford,89.84377913,29274.35521
2020,Wexford,82.53998428,26840.0561
2020,Cork,102.4934839,33427.07414
2020,Kerry,85.50174849,27883.99729
2021,Cavan,79.16602373,26311.79455
2021,Donegal,71.41550905,23788.7895
2021,Leitrim,80.09138641,26606.58546
2021,Monaghan,81.29524473,27159.64522
2021,Sligo,86.11087792,28716.55387
2021,Galway,88.85740352,29578.80337
2021,Mayo,79.52449336,26479.23549
2021,Roscommon,79.78536979,26551.51879
2021,Dublin,123.9176757,41522.06589
2021,Kildare,107.7075719,36026.93033
2021,Meath,99.69809961,33245.70711
2021,Wicklow,103.0220033,34507.44349
2021,Louth,87.35712112,29104.06999
2021,Laois,69.85563032,23127.10588
2021,Longford,66.8750695,22151.02404
2021,Offaly,69.69688723,23155.77216
2021,Westmeath,73.53155314,24398.43088
2021,Clare,88.94796907,29651.38888
2021,Limerick,111.3360294,37352.90892
2021,Tipperary,81.62093703,27148.44433
2021,Carlow,87.44297161,29167.12101
2021,Kilkenny,87.17800513,29101.90619
2021,Waterford,89.61237729,29907.28912
2021,Wexford,81.57245941,27113.90239
2021,Cork,102.6648871,34327.05524
2021,Kerry,85.62474275,28626.5986
2022,Cavan,78.2230563,26574.03084
2022,Donegal,70.92225133,24174.49568
