Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
20/03/2019,"22 THE FAIRWAYS, OLD COURSE, MALLOW",,Cork,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/05/2015,"1 GERRARDSTOWN, BALLYBOUGHAL, DUBLIN",,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2016,"22 WATSON DR, KILLINEY, DUBLIN",,Dublin,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2021,"71 SEVILLE LAWNS, MARGARETS FIELD, KILKENNY",,Kilkenny,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2016,"17 BROOKDALE, OLD BAWN, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2016,"58 BEECHWOOD LAWNS, RATHCOOLE, CO DUBLIN",Dublin 24,Dublin,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2012,"Clonmel Road, Mitchelstown",,Cork,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2011,"29 Brickfield Gardens, Newry Road, Dundalk",,Louth,"€95,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
16/12/2020,"2 CURRAGH HALL GATE, TYRELLSTOWN, CLONEE DUBLIN 15",Dublin 15,Dublin,"€115,750.00",No,No,Second-Hand Dwelling house /Apartment,
8/9/2016,"84 TREES RD, MOUNT MERRION, BLACKROCK",,Dublin,"€915,375.20",No,No,Second-Hand Dwelling house /Apartment,
20/07/2017,"32 ROSSMORE PARK, NEWTOWNMOUNTKENNEDY, WICKLOW",,Wicklow,"€405,000.00",No,No,Second-Hand Dwelling house /Apartment,
3/1/2017,"83 UPPER TREES RD, MOUNT MERRION, DUBLIN",,Dublin,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2018,"LECARROW, BALLINTUBBER, CASTLEREA",,Roscommon,"€69,500.00",No,No,Second-Hand Dwelling house /Apartment,
25/04/2014,"35 WHITE OAKS, KNOCKNACARRA, GALWAY",,Galway,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2017,"30 Kirvin Hill, Rathnew",,Wicklow,"€209,107.93",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/10/2014,"4 WHEATFIELDS, KILMONEY RD, CARRIGALINE",,Cork,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"67 BELLEVUE HEIGHTS, NEW ROSS, WEXFORD",,Wexford,"€145,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
6/8/2013,"7 Ard na Greine, The Ballagh, Enniscorthy",,Wexford,"€49,000.00",No,No,Second-Hand Dwelling house /Apartment,
8/10/2015,"THE PRESBYTERY, CROSS STREET, NEW ROSS",,Wexford,"€12,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2010,"124 Ashcroft, Raheny, Dublin 5",,Dublin,"€267,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2020,"Cove Mews, Sandycove Close, Sandycove",,Dublin,"€1,040,000.00",No,Yes,New Dwelling house /Apartment,
9/6/2017,"34 Kirvin Hill, Rathnew",,Wicklow,"€345,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
9/6/2015,"39 Dunan, Cloughabrody, Thomastown",,Kilkenny,"€103,964.75",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/12/2018,"4 CARDY ROCK CLOSE, BALBRIGGAN, DUBLIN",,Dublin,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/08/2016,"17 SUNDALE CLOSE, MOUNTAIN VIEW, JOBSTOWN TALLAGHT",Dublin 24,Dublin,"€131,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2014,"77 THE SPIRES, COBH, CORK",,Cork,"€141,979.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2020,"LAUREL WALK, BANDON, CO CORK",,Cork,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2015,"7 THE STABLES, ST HELENS WOOD, BOOTERSTOWN",,Dublin,"€710,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2012,"1 St Patrick's Mews, Newtown, Waterford",,Waterford,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
