Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd
"147 Evanwood, Castletroy",,Limerick,191629.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,24,8,2015,2015-08-24
"UPPER BRIDGE ST, KILLORGLIN, CO. KERRY",,Kerry,135000.0,No,No,Second-Hand Dwelling house /Apartment,,22,12,2021,2021-12-22
"ARDAGH, MOUNT AVE, DUNDALK",,Louth,305000.0,No,Yes,New Dwelling house /Apartment,,1,7,2020,2020-07-01
"17 EAST, SINGLAND RD, GARRYOWEN",,Limerick,21250.0,Yes,No,Second-Hand Dwelling house /Apartment,,31,8,2018,2018-08-31
"37 RAHEEN DR, BALLYFERMOTT, DUBLIN 10",Dublin 10,Dublin,245000.0,No,No,Second-Hand Dwelling house /Apartment,,21,5,2018,2018-05-21
"56 ABBEYTOWN, CROSSMOLINA, MAYO",,Mayo,78000.0,No,No,Second-Hand Dwelling house /Apartment,,19,12,2013,2013-12-19
"8 ASHFIELD DR, COOLCOTTS, WEXFORD",,Wexford,99000.0,No,No,Second-Hand Dwelling house /Apartment,,20,7,2018,2018-07-20
"15 Knocknagragh, Ballinroad, Dungarven",,Waterford,158000.0,No,No,Second-Hand Dwelling house /Apartment,,26,4,2010,2010-04-26
"Brockley Park, Stradbally",,Laois,120704.84,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,16,6,2011,2011-06-16
"57 AVONDALE DR, HANOVER, CARLOW",,Carlow,161000.0,No,No,Second-Hand Dwelling house /Apartment,,16,4,2018,2018-04-16
"ATHLONE RD, FERBANE, OFFALY",,Offaly,95000.0,No,No,Second-Hand Dwelling house /Apartment,,20,4,2021,2021-04-20
"28 CHURCH VIEW, CLAREGALWAY, GALWAY",,Galway,180000.0,No,No,Second-Hand Dwelling house /Apartment,,23,11,2017,2017-11-23
"3 ISLAND LODGE, WALSH ISLAND, OFFALY",,Offaly,175000.0,No,No,Second-Hand Dwelling house /Apartment,,17,2,2021,2021-02-17
"21 The Strand, Marina Village, Greystones",,Wicklow,585903.08,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,16,3,2017,2017-03-16
"60 INIS LUA, FARTHER RUSSELL RD, RATHEEN",,Limerick,230000.0,No,No,Second-Hand Dwelling house /Apartment,,28,11,2014,2014-11-28
"Lehina, Lislevane",,Cork,200000.0,No,No,Second-Hand Dwelling house /Apartment,,29,7,2013,2013-07-29
