Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd
"346 Moness, St. Johnston, Lifford",,Donegal,10190.0,Yes,No,Second-Hand Dwelling house /Apartment,,12,5,2012,2012-05-12
"MAIN STREET, ELPHIN, COUNTY ROSCOMMON",,Roscommon,11000.0,No,No,Second-Hand Dwelling house /Apartment,,7,5,2020,2020-05-07
"Apt 47 Block B Clares Court, Main Street/Church Street",,Cavan,11630.0,No,No,Second-Hand Dwelling house /Apartment,,7,3,2014,2014-03-07
"2 KILTOLE, CONVOY, CO DONEGAL",,Donegal,11750.0,No,No,Second-Hand Dwelling house /Apartment,,14,12,2021,2021-12-14
"NR 4 CLARE INN SUITES, DROMOLAND, NEWMARKET ON FERGUS",,Clare,12000.0,No,No,Second-Hand Dwelling house /Apartment,,24,3,2017,2017-03-24
"Main Street, Castlerea",,Roscommon,12000.0,No,No,Second-Hand Dwelling house /Apartment,,23,8,2013,2013-08-23
"THE PRESBYTERY, CROSS STREET, NEW ROSS",,Wexford,12500.0,No,No,Second-Hand Dwelling house /Apartment,,8,10,2015,2015-10-08
"Ardaneer, Foynes, Co. Limerick",,Limerick,12500.0,No,No,Second-Hand Dwelling house /Apartment,,20,1,2010,2010-01-20
"Drumbawn, Ardagh, County Longford",,Longford,12800.0,No,No,Second-Hand Dwelling house /Apartment,,15,11,2013,2013-11-15
"90 Thornberry Drive, Athlone",,Westmeath,13000.0,No,No,Second-Hand Dwelling house /Apartment,,28,2,2012,2012-02-28
"14 Richmond Street, Longford",,Longford,13000.0,No,No,Second-Hand Dwelling house /Apartment,,29,4,2011,2011-04-29
"FLAT 3, AN SEAN SCHILLAIN, COOTEHILL",,Cavan,13333.0,No,No,Second-Hand Dwelling house /Apartment,,4,7,2017,2017-07-04
"SQUARE VIEW, BROSNA WEST, CO. KERRY.",,Kerry,14000.0,No,No,Second-Hand Dwelling house /Apartment,,17,10,2014,2014-10-17
"Apt 2 Hazel Court, Upper Main Street, Ballyhaunis",,Mayo,14000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,18,12,2015,2015-12-18
